timestamp,duration,src_bytes,dst_bytes,failed_logins,prediction,severity,risk_score
2025-12-30 14:03:15,86,54002,71880,7,attack,HIGH,59
2025-12-30 14:03:05,165,35853,2482,3,normal,LOW,28
2025-12-30 14:02:55,177,50796,75309,5,attack,HIGH,81
2025-12-30 14:02:45,32,102285,118599,4,attack,HIGH,61
2025-12-30 14:02:35,121,83875,84222,5,normal,LOW,14
2025-12-30 14:02:25,122,92655,75118,7,normal,LOW,27
2025-12-30 14:02:15,87,87590,104631,9,normal,LOW,21
2025-12-30 14:02:05,82,69017,98918,9,normal,LOW,25
2025-12-30 14:01:55,83,8523,66231,5,normal,LOW,9
2025-12-30 14:01:45,132,42345,66012,8,normal,LOW,29
2025-12-30 14:01:35,56,44332,44396,3,normal,LOW,12
2025-12-30 14:01:25,17,91973,19956,1,attack,HIGH,81
2025-12-30 14:01:15,158,23144,35990,5,attack,MEDIUM,56
2025-12-30 14:01:05,33,115711,90028,5,normal,LOW,30
2025-12-30 14:00:55,51,56200,5921,3,normal,LOW,11
2025-12-30 14:00:45,115,64331,20241,3,attack,MEDIUM,73
2025-12-30 14:00:35,113,18390,94783,1,normal,LOW,20
2025-12-30 14:00:25,57,71332,116032,9,normal,LOW,26
2025-12-30 14:00:15,19,89171,89242,1,attack,MEDIUM,68
2025-12-30 14:00:05,133,54690,92228,10,normal,LOW,21
2025-12-30 13:59:55,32,31294,73444,3,attack,MEDIUM,65
2025-12-30 13:59:45,136,76094,10389,7,attack,MEDIUM,83
2025-12-30 13:59:35,122,38261,97968,6,normal,LOW,27
2025-12-30 13:59:25,69,61238,81229,3,normal,LOW,16
2025-12-30 13:59:15,58,97543,44881,9,normal,LOW,18
2025-12-30 13:59:05,126,116333,50799,4,normal,LOW,28
2025-12-30 13:58:55,116,89075,24304,8,normal,LOW,24
2025-12-30 13:58:45,78,739,579,4,attack,MEDIUM,79
2025-12-30 13:58:35,8,3605,68288,4,attack,MEDIUM,68
2025-12-30 13:58:25,30,66483,58682,6,attack,MEDIUM,90
2025-12-30 13:58:15,162,19845,103335,7,attack,HIGH,73
2025-12-30 13:58:05,29,41199,31116,4,normal,LOW,19
2025-12-30 13:57:55,132,107060,84145,4,normal,LOW,11
2025-12-30 13:57:45,129,69807,19393,1,attack,HIGH,56
2025-12-30 13:57:35,180,12550,28179,5,normal,LOW,22
2025-12-30 13:57:25,30,81236,97430,9,normal,LOW,23
2025-12-30 13:57:15,91,67715,21147,4,normal,LOW,20
2025-12-30 13:57:05,145,93607,116450,4,normal,LOW,6
2025-12-30 13:56:55,34,95628,54282,7,normal,LOW,18
2025-12-30 13:56:45,12,115245,114038,8,attack,HIGH,93
2025-12-30 13:56:35,92,50656,115185,4,normal,LOW,29
2025-12-30 13:56:25,177,34096,93351,10,attack,HIGH,71
2025-12-30 13:56:15,50,101581,12953,5,attack,MEDIUM,91
2025-12-30 13:56:05,115,11389,93932,6,attack,HIGH,57
2025-12-30 13:55:55,99,52880,73297,8,normal,LOW,24
2025-12-30 13:55:45,115,73938,9753,10,normal,LOW,7
2025-12-30 13:55:35,95,88467,74513,10,normal,LOW,25
2025-12-30 13:55:25,41,116250,58769,8,normal,LOW,30
2025-12-30 13:55:15,14,70829,113301,9,normal,LOW,8
2025-12-30 13:55:05,26,14052,64648,0,attack,MEDIUM,95
2025-12-30 13:54:55,60,88562,101533,1,normal,LOW,11
2025-12-30 13:54:45,98,80340,52217,5,normal,LOW,13
2025-12-30 13:54:35,54,113039,116087,5,normal,LOW,24
2025-12-30 13:54:25,53,41887,116329,1,normal,LOW,22
2025-12-30 13:54:15,105,78729,53007,3,attack,MEDIUM,59
2025-12-30 13:54:05,155,109377,99047,0,attack,HIGH,53
2025-12-30 13:53:55,35,101677,45344,9,attack,HIGH,87
2025-12-30 13:53:45,22,6067,37747,3,normal,LOW,9
2025-12-30 13:53:35,41,9077,102323,9,normal,LOW,6
2025-12-30 13:53:25,84,14120,54823,8,normal,LOW,14
2025-12-30 13:53:15,57,25070,79320,9,normal,LOW,18
2025-12-30 13:53:05,179,78576,57604,7,normal,LOW,17
2025-12-30 13:52:55,109,87119,37323,4,normal,LOW,22
2025-12-30 13:52:45,77,59776,36464,0,normal,LOW,14
2025-12-30 13:52:35,38,77819,86123,9,normal,LOW,20
2025-12-30 13:52:25,177,33015,80744,8,attack,MEDIUM,65
2025-12-30 13:52:15,57,101625,56858,0,normal,LOW,8
2025-12-30 13:52:05,28,70349,74943,5,normal,LOW,7
2025-12-30 13:51:55,110,42086,63195,3,normal,LOW,8
2025-12-30 13:51:45,119,78739,28690,7,normal,LOW,7
2025-12-30 13:51:35,75,55386,101621,7,normal,LOW,7
2025-12-30 13:51:25,70,41521,85933,1,attack,HIGH,60
2025-12-30 13:51:15,12,49081,43962,1,normal,LOW,16
2025-12-30 13:51:05,100,15015,61005,8,attack,HIGH,60
2025-12-30 13:50:55,103,50666,3912,1,normal,LOW,16
2025-12-30 13:50:45,64,116194,106520,4,normal,LOW,25
2025-12-30 13:50:35,136,104465,98004,6,normal,LOW,29
2025-12-30 13:50:25,162,26014,27388,3,normal,LOW,6
2025-12-30 13:50:15,32,105041,56115,0,normal,LOW,26
2025-12-30 13:50:05,91,113799,5852,0,normal,LOW,19
2025-12-30 13:49:55,110,99917,50018,7,normal,LOW,28
2025-12-30 13:49:45,38,118350,23325,10,normal,LOW,27
2025-12-30 13:49:35,172,94306,98185,0,normal,LOW,30
2025-12-30 13:49:25,136,21941,111056,3,normal,LOW,20
2025-12-30 13:49:15,62,93056,100439,8,normal,LOW,16
2025-12-30 13:49:05,28,97783,112817,1,normal,LOW,16
2025-12-30 13:48:55,46,61401,14581,10,normal,LOW,23
2025-12-30 13:48:45,90,102519,34682,1,attack,HIGH,87
2025-12-30 13:48:35,99,102820,77591,8,normal,LOW,19
2025-12-30 13:48:25,157,75291,82950,6,attack,HIGH,76
2025-12-30 13:48:15,34,13901,39270,5,normal,LOW,19
2025-12-30 13:48:05,143,105201,53749,10,attack,HIGH,68
2025-12-30 13:47:55,65,91971,27047,8,normal,LOW,19
2025-12-30 13:47:45,134,37726,52534,1,normal,LOW,8
2025-12-30 13:47:35,88,93022,104444,6,normal,LOW,19
2025-12-30 13:47:25,55,77792,115487,10,normal,LOW,13
2025-12-30 13:47:15,159,24568,94937,1,normal,LOW,13
2025-12-30 13:47:05,156,11909,68926,8,normal,LOW,13
2025-12-30 13:46:55,1,9280,32422,8,normal,LOW,23
2025-12-30 13:46:45,33,80372,116441,0,normal,LOW,13
2025-12-30 13:46:35,173,89963,61996,5,normal,LOW,20
2025-12-30 13:46:25,143,107391,6567,4,attack,HIGH,65
2025-12-30 13:46:15,172,74153,72338,5,normal,LOW,15
2025-12-30 13:46:05,74,103673,20209,3,attack,HIGH,95
2025-12-30 13:45:55,114,49147,113709,3,normal,LOW,27
2025-12-30 13:45:45,130,77735,29104,7,normal,LOW,9
2025-12-30 13:45:35,161,103592,106490,8,normal,LOW,29
2025-12-30 13:45:25,167,14002,64091,3,attack,MEDIUM,73
2025-12-30 13:45:15,173,34683,118189,10,normal,LOW,13
2025-12-30 13:45:05,57,70806,79739,8,normal,LOW,28
2025-12-30 13:44:55,117,71225,95813,9,normal,LOW,18
2025-12-30 13:44:45,68,6715,91706,5,attack,HIGH,53
2025-12-30 13:44:35,166,72696,41240,0,normal,LOW,8
2025-12-30 13:44:25,7,43830,842,2,attack,MEDIUM,55
2025-12-30 13:44:15,114,117287,17617,2,normal,LOW,28
2025-12-30 13:44:05,66,48952,12416,5,attack,HIGH,73
2025-12-30 13:43:55,17,47964,50500,7,normal,LOW,25
2025-12-30 13:43:45,84,92626,82124,9,normal,LOW,8
2025-12-30 13:43:35,31,103201,119597,10,normal,LOW,29
2025-12-30 13:43:25,119,112755,48083,7,normal,LOW,13
2025-12-30 13:43:15,76,100360,21984,9,normal,LOW,16
2025-12-30 13:43:05,7,46388,95211,7,normal,LOW,10
2025-12-30 13:42:55,19,22125,29795,9,normal,LOW,17
2025-12-30 13:42:45,133,7804,25170,9,normal,LOW,24
2025-12-30 13:42:35,71,64663,25155,1,normal,LOW,8
2025-12-30 13:42:25,147,7977,51110,5,normal,LOW,10
2025-12-30 13:42:15,25,119067,57077,0,normal,LOW,18
2025-12-30 13:42:05,71,110550,43092,3,attack,HIGH,98
2025-12-30 13:41:55,74,105378,12878,7,normal,LOW,21
2025-12-30 13:41:45,120,52904,61674,10,normal,LOW,18
2025-12-30 13:41:35,95,106518,84013,4,normal,LOW,30
2025-12-30 13:41:25,107,98903,14361,9,normal,LOW,6
2025-12-30 13:41:15,137,33843,108548,4,normal,LOW,15
2025-12-30 13:41:05,81,88495,23725,0,normal,LOW,12
2025-12-30 13:40:55,11,62715,49753,8,normal,LOW,16
2025-12-30 13:40:45,115,106783,75475,5,normal,LOW,13
2025-12-30 13:40:35,87,51792,111914,10,normal,LOW,20
2025-12-30 13:40:25,11,86376,29357,10,attack,MEDIUM,93
2025-12-30 13:40:15,149,78999,55395,1,normal,LOW,28
2025-12-30 13:40:05,105,89274,6015,3,normal,LOW,8
2025-12-30 13:39:55,134,88293,5889,5,attack,MEDIUM,87
2025-12-30 13:39:45,178,38644,82123,1,normal,LOW,10
2025-12-30 13:39:35,137,59705,35721,7,normal,LOW,19
2025-12-30 13:39:25,57,60624,9496,9,normal,LOW,27
2025-12-30 13:39:15,75,86859,60219,1,attack,MEDIUM,54
2025-12-30 13:39:05,171,15607,34874,1,normal,LOW,12
2025-12-30 13:38:55,10,96952,3389,10,attack,MEDIUM,52
2025-12-30 13:38:45,105,99417,114482,10,normal,LOW,6
2025-12-30 13:38:35,145,19654,24055,4,normal,LOW,25
2025-12-30 13:38:25,104,105791,90232,1,attack,MEDIUM,52
2025-12-30 13:38:15,84,2278,13171,3,normal,LOW,21
2025-12-30 13:38:05,38,61193,75965,4,attack,HIGH,64
2025-12-30 13:37:55,22,26231,42972,10,attack,HIGH,76
2025-12-30 13:37:45,50,26014,80121,2,normal,LOW,21
2025-12-30 13:37:35,176,50886,21879,0,normal,LOW,26
2025-12-30 13:37:25,34,76556,7578,6,attack,HIGH,62
2025-12-30 13:37:15,123,20750,100183,7,attack,MEDIUM,94
2025-12-30 13:37:05,179,98630,38394,0,normal,LOW,12
2025-12-30 13:36:55,101,29293,41956,5,normal,LOW,9
2025-12-30 13:36:45,63,113336,2309,4,normal,LOW,19
2025-12-30 13:36:35,112,113072,116531,2,attack,HIGH,67
2025-12-30 13:36:25,141,79185,76041,2,normal,LOW,14
2025-12-30 13:36:15,40,64484,15518,8,normal,LOW,28
2025-12-30 13:36:05,140,10217,18594,5,normal,LOW,29
2025-12-30 13:35:55,87,52041,61091,6,normal,LOW,16
2025-12-30 13:35:45,78,76036,89145,10,normal,LOW,20
2025-12-30 13:35:35,140,62391,65513,10,normal,LOW,19
2025-12-30 13:35:25,147,104007,13955,1,normal,LOW,14
2025-12-30 13:35:15,16,117644,49752,4,normal,LOW,29
2025-12-30 13:35:05,134,111594,77509,1,normal,LOW,23
2025-12-30 13:34:55,80,11802,95440,1,normal,LOW,22
2025-12-30 13:34:45,67,27797,7750,5,normal,LOW,17
2025-12-30 13:34:35,109,45161,45351,5,attack,HIGH,62
2025-12-30 13:34:25,56,21024,72133,1,attack,HIGH,65
2025-12-30 13:34:15,76,36072,98889,7,normal,LOW,27
2025-12-30 13:34:05,68,104688,2166,4,normal,LOW,6
2025-12-30 13:33:55,170,18495,45806,2,normal,LOW,17
2025-12-30 13:33:45,155,9838,94611,10,normal,LOW,28
2025-12-30 13:33:35,151,61646,35959,2,attack,HIGH,50
2025-12-30 13:33:25,102,18289,116424,2,normal,LOW,15
2025-12-30 13:33:15,81,112221,93744,7,normal,LOW,29
2025-12-30 13:33:05,89,52441,108611,4,attack,HIGH,79
2025-12-30 13:32:55,27,104070,9132,9,normal,LOW,6
2025-12-30 13:32:45,124,94094,115073,0,normal,LOW,19
2025-12-30 13:32:35,28,94594,16787,10,normal,LOW,20
2025-12-30 13:32:25,141,90544,86878,2,normal,LOW,16
2025-12-30 13:32:15,105,43700,73168,3,attack,MEDIUM,60
2025-12-30 13:32:05,131,85722,112052,2,attack,MEDIUM,76
2025-12-30 13:31:55,165,20365,95635,1,normal,LOW,18
2025-12-30 13:31:45,58,58404,67322,7,normal,LOW,21
2025-12-30 13:31:35,143,4923,46545,8,attack,MEDIUM,82
2025-12-30 13:31:25,107,14043,98218,6,normal,LOW,6
2025-12-30 13:31:15,50,35746,1181,2,normal,LOW,9
2025-12-30 13:31:05,78,111456,51971,9,normal,LOW,27
2025-12-30 13:30:55,129,28109,46303,5,normal,LOW,28
2025-12-30 13:30:45,69,48507,101980,10,normal,LOW,16
2025-12-30 13:30:35,67,50346,42859,8,attack,HIGH,50
2025-12-30 13:30:25,53,75448,83435,8,normal,LOW,7
2025-12-30 13:30:15,179,11142,9172,9,attack,MEDIUM,62
2025-12-30 13:30:05,132,26218,46841,5,normal,LOW,28
2025-12-30 13:29:55,108,91055,103989,5,normal,LOW,21
2025-12-30 13:29:45,77,87242,118137,4,attack,MEDIUM,99
2025-12-30 13:29:35,22,62007,6058,6,normal,LOW,12
2025-12-30 13:29:25,7,102400,73261,8,normal,LOW,12
2025-12-30 13:29:15,54,102665,110098,8,attack,HIGH,62
2025-12-30 13:29:05,177,69328,119378,2,normal,LOW,18
2025-12-30 13:28:55,68,49373,78084,10,normal,LOW,11
2025-12-30 13:28:45,46,30333,115425,7,normal,LOW,30
2025-12-30 13:28:35,37,49875,52951,6,attack,HIGH,70
2025-12-30 13:28:25,180,79268,117709,0,normal,LOW,20
2025-12-30 13:28:15,2,54419,52045,2,attack,HIGH,68
2025-12-30 13:28:05,103,75510,52964,4,normal,LOW,26
2025-12-30 13:27:55,176,66376,45789,2,normal,LOW,15
2025-12-30 13:27:45,41,16354,31987,8,normal,LOW,11
2025-12-30 13:27:35,87,21128,12225,6,normal,LOW,30
2025-12-30 13:27:25,62,101620,111668,3,attack,HIGH,99
2025-12-30 13:27:15,32,82808,67511,2,normal,LOW,20
2025-12-30 13:27:05,48,55370,76381,10,normal,LOW,6
2025-12-30 13:26:55,138,35777,41333,9,normal,LOW,21
2025-12-30 13:26:45,86,22214,44364,1,normal,LOW,15
2025-12-30 13:26:35,141,1436,25403,3,normal,LOW,19
2025-12-30 13:26:25,155,21839,33896,8,normal,LOW,9
2025-12-30 13:26:15,50,32436,76670,7,normal,LOW,16
2025-12-30 13:26:05,69,79987,90330,8,normal,LOW,18
2025-12-30 13:25:55,71,103458,78135,9,attack,HIGH,69
2025-12-30 13:25:45,19,25034,36793,8,normal,LOW,12
2025-12-30 13:25:35,87,75380,79170,4,attack,HIGH,79
2025-12-30 13:25:25,63,35721,47347,10,normal,LOW,23
2025-12-30 13:25:15,23,50725,89137,9,attack,HIGH,67
2025-12-30 13:25:05,155,17367,82706,9,normal,LOW,5
2025-12-30 13:24:55,88,115645,90904,9,attack,MEDIUM,80
2025-12-30 13:24:45,113,1703,109752,9,normal,LOW,19
2025-12-30 13:24:35,85,27957,4122,9,attack,MEDIUM,63
2025-12-30 13:24:25,50,12655,95208,8,normal,LOW,26
2025-12-30 13:24:15,159,84790,70344,9,attack,MEDIUM,71
2025-12-30 13:24:05,90,116368,93462,3,normal,LOW,11
2025-12-30 13:23:55,8,81316,6617,5,normal,LOW,6
2025-12-30 13:23:45,43,24508,60231,10,normal,LOW,11
2025-12-30 13:23:35,30,116963,11843,1,normal,LOW,24
2025-12-30 13:23:25,48,52368,80192,9,normal,LOW,25
2025-12-30 13:23:15,22,72280,65109,1,normal,LOW,8
2025-12-30 13:23:05,22,48123,53936,9,attack,MEDIUM,61
2025-12-30 13:22:55,167,6974,62044,8,normal,LOW,5
2025-12-30 13:22:45,146,101263,67200,3,normal,LOW,16
2025-12-30 13:22:35,161,18950,117604,3,normal,LOW,7
2025-12-30 13:22:25,179,97274,93343,7,normal,LOW,6
2025-12-30 13:22:15,55,68839,41511,1,normal,LOW,25
2025-12-30 13:22:05,22,113797,86517,4,normal,LOW,9
2025-12-30 13:21:55,34,107603,15124,7,normal,LOW,8
2025-12-30 13:21:45,131,105320,106101,2,normal,LOW,10
2025-12-30 13:21:35,91,42742,60024,3,normal,LOW,5
2025-12-30 13:21:25,69,100853,19112,10,attack,HIGH,69
2025-12-30 13:21:15,93,29240,46445,8,normal,LOW,17
2025-12-30 13:21:05,100,12675,84545,0,normal,LOW,22
2025-12-30 13:20:55,138,109769,34140,2,normal,LOW,25
2025-12-30 13:20:45,172,4594,32423,5,normal,LOW,7
2025-12-30 13:20:35,61,67591,68624,5,attack,HIGH,56
2025-12-30 13:20:25,38,50407,80877,2,attack,MEDIUM,76
2025-12-30 13:20:15,29,47064,105363,3,attack,HIGH,60
2025-12-30 13:20:05,157,70385,9092,1,normal,LOW,5
2025-12-30 13:19:55,37,41277,100503,9,normal,LOW,5
2025-12-30 13:19:45,37,57383,82787,0,normal,LOW,25
2025-12-30 13:19:35,163,62843,109219,10,attack,HIGH,99
2025-12-30 13:19:25,79,43431,86476,2,normal,LOW,26
2025-12-30 13:19:15,119,100239,52479,7,normal,LOW,20
2025-12-30 13:19:05,137,118851,48732,5,normal,LOW,8
2025-12-30 13:18:55,48,14858,100892,4,attack,HIGH,74
2025-12-30 13:18:45,28,106793,42640,5,attack,HIGH,71
2025-12-30 13:18:35,143,36250,67904,3,normal,LOW,19
2025-12-30 13:18:25,55,34710,111845,3,normal,LOW,20
2025-12-30 13:18:15,22,113510,102637,7,normal,LOW,8
2025-12-30 13:18:05,54,7560,84376,7,normal,LOW,7
2025-12-30 13:17:55,160,103560,50955,4,normal,LOW,6
2025-12-30 13:17:45,41,30126,14845,5,normal,LOW,14
2025-12-30 13:17:35,115,65522,49779,7,normal,LOW,18
2025-12-30 13:17:25,40,39469,39085,9,normal,LOW,30
2025-12-30 13:17:15,165,67576,30716,3,normal,LOW,30
2025-12-30 13:17:05,108,55945,33169,7,normal,LOW,27
2025-12-30 13:16:55,132,94456,19876,7,attack,HIGH,51
2025-12-30 13:16:45,136,59437,11132,0,normal,LOW,17
2025-12-30 13:16:35,176,34235,69017,6,attack,HIGH,52
2025-12-30 13:16:25,147,38604,67482,1,normal,LOW,30
2025-12-30 13:16:15,113,92881,59593,7,normal,LOW,29
2025-12-30 13:16:05,100,64972,106137,7,attack,HIGH,96
2025-12-30 13:15:55,35,2883,23765,1,normal,LOW,6
2025-12-30 13:15:45,180,70105,28441,9,attack,MEDIUM,76
2025-12-30 13:15:35,96,73855,31126,4,normal,LOW,9
2025-12-30 13:15:25,161,114437,58225,0,normal,LOW,21
2025-12-30 13:15:15,138,31937,85441,10,attack,HIGH,86
2025-12-30 13:15:05,126,104790,65224,10,normal,LOW,13
2025-12-30 13:14:55,78,42675,16654,7,normal,LOW,22
2025-12-30 13:14:45,16,115901,117980,9,normal,LOW,24
2025-12-30 13:14:35,96,110460,90747,1,attack,HIGH,97
2025-12-30 13:14:25,17,104237,79239,5,normal,LOW,15
2025-12-30 13:14:15,79,63286,75316,6,attack,MEDIUM,73
2025-12-30 13:14:05,54,51115,9122,3,normal,LOW,11
2025-12-30 13:13:55,150,33611,29140,9,attack,HIGH,61
2025-12-30 13:13:45,153,54737,77453,4,normal,LOW,24
2025-12-30 13:13:35,124,11379,31454,5,normal,LOW,16
2025-12-30 13:13:25,91,84149,54474,2,normal,LOW,18
2025-12-30 13:13:15,115,18873,56909,2,attack,HIGH,82
2025-12-30 13:13:05,61,27501,48090,7,normal,LOW,28
2025-12-30 13:12:55,38,104748,25986,2,attack,HIGH,63
2025-12-30 13:12:45,117,104094,80173,7,normal,LOW,30
2025-12-30 13:12:35,81,116674,2387,0,normal,LOW,13
2025-12-30 13:12:25,76,60501,88932,5,attack,MEDIUM,71
2025-12-30 13:12:15,9,43594,31774,4,normal,LOW,23
2025-12-30 13:12:05,126,14937,70497,0,normal,LOW,7
2025-12-30 13:11:55,91,119227,43816,10,attack,HIGH,98
2025-12-30 13:11:45,89,88457,78372,4,normal,LOW,11
2025-12-30 13:11:35,139,115538,50956,10,normal,LOW,17
2025-12-30 13:11:25,174,93641,54071,1,normal,LOW,30
2025-12-30 13:11:15,129,16805,48056,7,attack,HIGH,78
2025-12-30 13:11:05,30,67533,107682,6,attack,HIGH,63
2025-12-30 13:10:55,62,51079,99460,9,attack,HIGH,78
2025-12-30 13:10:45,35,106847,86938,7,normal,LOW,15
2025-12-30 13:10:35,142,24498,85648,7,normal,LOW,22
2025-12-30 13:10:25,25,81602,39597,1,normal,LOW,13
2025-12-30 13:10:15,121,55792,49612,5,normal,LOW,23
2025-12-30 13:10:05,124,21092,52395,2,attack,HIGH,98
2025-12-30 13:09:55,80,42760,81282,8,normal,LOW,6
2025-12-30 13:09:45,82,53165,41242,8,normal,LOW,28
2025-12-30 13:09:35,1,31686,40083,9,normal,LOW,29
2025-12-30 13:09:25,175,90647,3012,0,normal,LOW,12
2025-12-30 13:09:15,8,58946,65595,10,normal,LOW,27
2025-12-30 13:09:05,106,108786,65023,2,attack,HIGH,77
2025-12-30 13:08:55,100,91631,29273,10,normal,LOW,5
2025-12-30 13:08:45,15,60535,99289,7,normal,LOW,28
2025-12-30 13:08:35,92,30235,84401,10,attack,HIGH,50
2025-12-30 13:08:25,115,46648,4977,10,normal,LOW,7
2025-12-30 13:08:15,173,58745,87093,3,attack,MEDIUM,61
2025-12-30 13:08:05,25,54331,48215,8,normal,LOW,29
2025-12-30 13:07:55,42,20280,61793,8,normal,LOW,22
2025-12-30 13:07:45,179,37446,45417,6,normal,LOW,21
2025-12-30 13:07:35,164,1846,12684,4,normal,LOW,14
2025-12-30 13:07:25,133,20303,14601,9,normal,LOW,24
2025-12-30 13:07:15,13,3717,38842,4,attack,HIGH,72
2025-12-30 13:07:05,15,68189,42281,2,normal,LOW,19
2025-12-30 13:06:55,100,55052,106776,5,attack,HIGH,88
2025-12-30 13:06:45,84,77722,62705,3,normal,LOW,23
2025-12-30 13:06:35,71,37338,75931,6,normal,LOW,17
2025-12-30 13:06:25,11,37780,79093,6,normal,LOW,6
2025-12-30 13:06:15,161,63481,89964,9,normal,LOW,17
2025-12-30 13:06:05,61,10080,11265,9,normal,LOW,25
2025-12-30 13:05:55,146,1949,105885,6,normal,LOW,24
2025-12-30 13:05:45,177,75575,64882,2,normal,LOW,7
2025-12-30 13:05:35,77,79924,11849,4,normal,LOW,17
2025-12-30 13:05:25,129,117968,103200,2,normal,LOW,20
2025-12-30 13:05:15,77,96332,88329,10,normal,LOW,30
2025-12-30 13:05:05,35,44680,112997,9,normal,LOW,14
2025-12-30 13:04:55,85,87789,114067,1,normal,LOW,5
2025-12-30 13:04:45,67,33210,92145,8,normal,LOW,8
2025-12-30 13:04:35,167,55147,94289,10,normal,LOW,27
2025-12-30 13:04:25,62,78442,73579,7,attack,HIGH,87
2025-12-30 13:04:15,42,50784,26451,7,attack,MEDIUM,54
2025-12-30 13:04:05,25,35231,87908,9,normal,LOW,8
2025-12-30 13:03:55,134,76818,109690,3,normal,LOW,19
2025-12-30 13:03:45,2,108446,26106,4,normal,LOW,14
2025-12-30 13:03:35,46,1857,13062,3,attack,HIGH,72
2025-12-30 13:03:25,71,44343,75848,8,normal,LOW,14
2025-12-30 13:03:15,33,119888,44501,0,normal,LOW,10
2025-12-30 13:03:05,104,91438,112903,8,normal,LOW,18
2025-12-30 13:02:55,164,58005,37094,5,normal,LOW,29
2025-12-30 13:02:45,44,104264,52045,1,normal,LOW,11
2025-12-30 13:02:35,169,99061,64230,3,attack,HIGH,68
2025-12-30 13:02:25,117,7457,99547,2,normal,LOW,6
2025-12-30 13:02:15,175,35628,56245,5,normal,LOW,11
2025-12-30 13:02:05,92,77344,98886,9,attack,MEDIUM,94
2025-12-30 13:01:55,121,22368,107891,6,attack,MEDIUM,57
2025-12-30 13:01:45,129,51641,17268,8,normal,LOW,19
2025-12-30 13:01:35,100,93690,17936,1,attack,MEDIUM,91
2025-12-30 13:01:25,161,11341,59047,2,normal,LOW,17
2025-12-30 13:01:15,86,94731,26549,8,attack,HIGH,79
2025-12-30 13:01:05,146,58740,112897,3,normal,LOW,23
2025-12-30 13:00:55,34,73795,9375,3,normal,LOW,20
2025-12-30 13:00:45,133,15048,112312,9,normal,LOW,8
2025-12-30 13:00:35,73,40130,49005,10,normal,LOW,19
2025-12-30 13:00:25,41,97065,65397,9,attack,MEDIUM,92
2025-12-30 13:00:15,65,30039,66591,4,normal,LOW,6
2025-12-30 13:00:05,55,79573,10061,3,normal,LOW,30
2025-12-30 12:59:55,91,66460,83382,7,normal,LOW,23
2025-12-30 12:59:45,175,111580,115296,0,attack,MEDIUM,61
2025-12-30 12:59:35,9,47208,114601,0,normal,LOW,13
2025-12-30 12:59:25,115,45362,47460,4,normal,LOW,9
2025-12-30 12:59:15,104,19574,3689,3,normal,LOW,8
2025-12-30 12:59:05,154,49637,58289,10,attack,HIGH,55
2025-12-30 12:58:55,112,117995,55440,9,attack,MEDIUM,63
2025-12-30 12:58:45,141,8433,50553,9,attack,HIGH,92
2025-12-30 12:58:35,126,71552,21994,4,normal,LOW,13
2025-12-30 12:58:25,180,6165,24941,2,normal,LOW,30
2025-12-30 12:58:15,67,81203,102092,8,normal,LOW,18
2025-12-30 12:58:05,39,22714,7435,4,attack,MEDIUM,54
2025-12-30 12:57:55,10,46942,56262,3,normal,LOW,12
2025-12-30 12:57:45,81,12640,92461,6,attack,HIGH,90
2025-12-30 12:57:35,166,100754,6017,7,attack,HIGH,64
2025-12-30 12:57:25,56,94255,77580,2,normal,LOW,29
2025-12-30 12:57:15,115,96247,103492,5,normal,LOW,8
2025-12-30 12:57:05,78,108812,4802,3,normal,LOW,21
2025-12-30 12:56:55,32,27786,79639,2,normal,LOW,13
